State,General,State_Suicide,Suicide,Elder_Abuse,Medicare_Support,Transportation_Assistance
Alabama,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),1-800-243-5463
Alaska,911,1-877-266-4357,988,1-800-677-1116,1-800-MEDICARE (633-4227),1-855-565-2017
Arizona,911,1-800-254-HELP,988,1-800-677-1116,1-800-MEDICARE (633-4227),1-888-737-7494
Arkansas,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
California,911,1-800-843-5200,988,1-800-677-1116,1-800-MEDICARE (633-4227),1-800-510-2020
Colorado,911,1-844-493-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),1-844-265-2372
Connecticut,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Delaware,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Florida,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Georgia,911,1-800-715-4225,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Hawaii,911,1-800-753-6879,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Idaho,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Illinois,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Indiana,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Iowa,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Kansas,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Kentucky,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Louisiana,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Maine,911,1-888-568-1112,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Maryland,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Massachusetts,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Michigan,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
