cat_id,cat_name,cat_desc
0.0.0.0.0,GENERAL_CATEGORY,GENERAL_CATEGORY_DESC
1,FOOD_AND_ESSENTIALS,FOOD_AND_ESSENTIALS_DESC
1.1,FOOD_ASSISTANCE,FOOD_ASSISTANCE_DESC
1.2,GROCERY_SHOPPING_AND_DELIVERY,GROCERY_SHOPPING_AND_DELIVERY_DESC
1.3,COOKING_HELP,COOKING_HELP_DESC
2,CLOTHING_ASSISTANCE,CLOTHING_ASSISTANCE_DESC
2.1,DONATE_CLOTHES,DONATE_CLOTHES_DESC
2.2,BORROW_CLOTHES,BORROW_CLOTHES_DESC
2.3,EMERGENCY_CLOTHING_ASSISTANCE,EMERGENCY_CLOTHING_ASSISTANCE_DESC
2.4,TAILORING,TAILORING_DESC
3,HOUSING_ASSISTANCE,HOUSING_ASSISTANCE_DESC
3.1,LEASE_SUPPORT,LEASE_SUPPORT_DESC
3.2,TENANT_RENT_SUPPORT,TENANT_RENT_SUPPORT_DESC
3.3,REPAIR_MAINTENANCE_SUPPORT,REPAIR_MAINTENANCE_SUPPORT_DESC
3.4,UTILITIES_SETUP_SUPPORT,UTILITIES_SETUP_SUPPORT_DESC
3.5,LOOKING_FOR_RENTAL,LOOKING_FOR_RENTAL_DESC
3.6,FIND_ROOMATE,FIND_ROOMATE_DESC
3.7,MOVE-IN_HELP,MOVE-IN_HELP_DESC
3.8,BOOKING_PACKERS_MOVERS_SUPPORT,BOOKING_PACKERS_MOVERS_SUPPORT_DESC
3.9,BUY_THINGS,BUY_THINGS_DESC
3.10,SELL_THINGS,SELL_THINGS_DESC
4,EDUCATION_CAREER_SUPPORT,EDUCATION_CAREER_SUPPORT_DESC
4.1,COLLEGE_APPLICATION_HELP,COLLEGE_APPLICATION_HELP_DESC
4.2,SOP_ESSAY_REVIEW,SOP_ESSAY_REVIEW_DESC
4.3,TUTORING,TUTORING_DESC
4.4,SCHOLARSHIP_KNOWLEDGE,SCHOLARSHIP_KNOWLEDGE_DESC
4.5,STUDY_GROUP_FORMATION,STUDY_GROUP_FORMATION_DESC
4.6,CAREER_GUIDANCE,CAREER_GUIDANCE_DESC
4.7,EDUCATION_RESOURCE,EDUCATION_RESOURCE_DESC
5,HEALTHCARE_WELLNESS,HEALTHCARE_WELLNESS_DESC
5.1,MEDICAL_CONSULTATION,MEDICAL_CONSULTATION_DESC
5.2,MEDICINE_DELIVERY,MEDICINE_DELIVERY_DESC
5.3,MENTAL_WELLBEING_SUPPORT,MENTAL_WELLBEING_SUPPORT_DESC
5.4,MEDICATION_REMINDERS,MEDICATION_REMINDERS_DESC
5.5,HEALTH_EDUCATION_GUIDANCE,HEALTH_EDUCATION_GUIDANCE_DESC
6,ELDERLY_COMMUNITY_ASSISTANCE,ELDERLY_COMMUNITY_ASSISTANCE_DESC
6.1,SENIOR_RELOCATION_SUPPORT,SENIOR_RELOCATION_SUPPORT_DESC
6.2,DIGITAL_SUPPORT_FOR_SENIORS,DIGITAL_SUPPORT_FOR_SENIORS_DESC
6.3,MEDICATION_MANAGEMENT,MEDICATION_MANAGEMENT_DESC
6.4,MEDICAL_DEVICES_SETUP,MEDICAL_DEVICES_SETUP_DESC
6.5,ERRANDS_EVENTS_TRANSPORTATION,ERRANDS_EVENTS_TRANSPORTATION_DESC
6.6,TRANSPORTATION_APPOINTMENTS_EVENTS,TRANSPORTATION_APPOINTMENTS_EVENTS_DESC
6.7,SCHEDULINGG_APPOINTMENTS,SCHEDULINGG_APPOINTMENTS_DESC






