item_id,field_id,item_value,item_type
1.1.B.1,1.1.B,Vegetarian,string
1.1.B.2,1.1.B,Vegan,string
1.1.B.3,1.1.B,Non-Vegetarian,string
1.1.B.4,1.1.B,Gluten-free,string
1.1.B.5,1.1.B,Other,string
1.1.C.1,1.1.C,Diabetic-Friendly,string
1.1.C.2,1.1.C,Kosher/Halal,string
1.1.C.3,1.1.C,Nut-Free,string
1.1.C.4,1.1.C,Lactose-Free,string
1.1.C.5,1.1.C,None,string
1.1.C.6,1.1.C,Other,string
1.3.A.1,1.3.A,Meal Prep,string
1.3.A.2,1.3.A,Festive Cooking or Bulk Prep,string
1.3.A.3,1.3.A,Nutritional Meal Planning,string
1.3.A.4,1.3.A,Cultural Cuisine Guidance,string
1.3.A.5,1.3.A,Other,string
1.3.B.1,1.3.B,Vegetarian,string
1.3.B.2,1.3.B,Vegan,string
1.3.B.3,1.3.B,High-Protein,string
1.3.B.4,1.3.B,Low-Carb,string
1.3.B.5,1.3.B,Culturally-Specific,string
1.3.C.1,1.3.C,Stove / Cooktop,string
1.3.C.2,1.3.C,Oven / Microwave,string
1.3.C.3,1.3.C,Utensils / Cookware Set,string
1.3.C.4,1.3.C,Mixer / Blender,string
1.3.C.5,1.3.C,None,string
2.1.A.1,2.1.A,Yes,string
2.1.A.2,2.1.A,No,string
2.1.A.2.1,2.1.A.2,First Name,string
2.1.A.2.2,2.1.A.2,Last Name,string
2.1.A.2.3,2.1.A.2,Email,string
2.1.A.2.4,2.1.A.2,Phone Number,string
2.1.A.2.5,2.1.A.2,Age,string
2.1.A.2.6,2.1.A.2,Gender,string
2.1.A.2.7,2.1.A.2,Preferred Language,string
2.1.B.1,2.1.B,Remote,string
2.1.B.2,2.1.B,In person,string
2.1.C.1,2.1.C,XS,string
2.1.C.2,2.1.C,S,string
2.1.C.3,2.1.C,M,string
2.1.C.4,2.1.C,L,string
2.1.C.5,2.1.C,XL,string
2.1.C.6,2.1.C,XXL,string
2.1.C.7,2.1.C,XXXL,string
2.1.D.1,2.1.D,Low,string
2.1.D.2,2.1.D,Medium,string
2.1.D.3,2.1.D,High,string
2.2.A.1,2.2.A,Yes,string
2.2.A.2,2.2.A,No,string
2.2.A.2.1,2.2.A.2,First Name,string
2.2.A.2.2,2.2.A.2,Last Name,string
2.2.A.2.3,2.2.A.2,Email,string
2.2.A.2.4,2.2.A.2,Phone Number,string
2.2.A.2.5,2.2.A.2,Age,string
2.2.A.2.6,2.2.A.2,Gender,string
2.2.A.2.7,2.2.A.2,Preferred Language,string
2.2.C.1,2.2.C,XS,string
2.2.C.2,2.2.C,S,string
2.2.C.3,2.2.C,M,string
2.2.C.4,2.2.C,L,string
2.2.C.5,2.2.C,XL,string
2.2.C.6,2.2.C,XXL,string
2.2.C.7,2.2.C,Other,string
2.2.D.1,2.2.D,Borrow temporarily,string
2.2.D.2,2.2.D,Request as donation (keep the item),string
2.2.E.1,2.2.E,Low,string
2.2.E.2,2.2.E,Medium,string
2.2.E.3,2.2.E,High,string
2.3.A.1,2.3.A,Yes,string
2.3.A.2,2.3.A,No,string
2.3.A.2.1,2.3.A.2,First Name,string
2.3.A.2.2,2.3.A.2,Last Name,string
2.3.A.2.3,2.3.A.2,Email,string
2.3.A.2.4,2.3.A.2,Phone Number,string
2.3.A.2.5,2.3.A.2,Age,string
2.3.A.2.6,2.3.A.2,Gender,string
2.3.A.2.7,2.3.A.2,Preferred Language,string
2.3.B.1,2.3.B,Remote,string
2.3.B.2,2.3.B,In person,string
2.3.C.1,2.3.C,Flood,string
2.3.C.2,2.3.C,Fire,string
2.3.C.3,2.3.C,Eviction,string
2.3.C.4,2.3.C,Other,string
2.3.D.1,2.3.D,Immediate (<24 hours),string
2.3.D.2,2.3.D,Urgent (<48 hours),string
2.3.E.1,2.3.E,Low,string
2.3.E.2,2.3.E,Medium,string
2.3.E.3,2.3.E,High,string
2.4.A.1,2.4.A,Winter Clothing Drive,string
2.4.A.2,2.4.A,Summer Essentials,string
2.4.A.3,2.4.A,Children’s Clothing,string
2.5.A.1,2.5.A,Yes,string
2.5.A.2,2.5.A,No,string
2.5.A.2.1,2.5.A.2,First Name,string
2.5.A.2.2,2.5.A.2,Last Name,string
2.5.A.2.3,2.5.A.2,Email,string
2.5.A.2.4,2.5.A.2,Phone Number,string
2.5.A.2.5,2.5.A.2,Age,string
2.5.A.2.6,2.5.A.2,Gender,string
2.5.A.2.7,2.5.A.2,Preferred Language,string
2.5.B.1,2.5.B,Remote,string
2.5.B.2,2.5.B,In person,string
2.5.C.1,2.5.C,Low,string
2.5.C.2,2.5.C,Medium,string
2.5.C.3,2.5.C,High,string
4.1.A.1,4.1.A,Application Form Guidance,string
4.1.A.2,4.1.A,Common App / Coalition App Help,string
4.1.A.3,4.1.A,Resume Building,string
4.1.A.4,4.1.A,Choosing Majors / Colleges,string
4.1.A.5,4.1.A,Interview Preparation,string
4.2.A.1,4.2.A,Statement of Purpose (SOP),string
4.2.A.2,4.2.A,Admission Essay,string
4.2.A.3,4.2.A,Scholarship Essay,string
4.2.A.4,4.2.A,Personal Statement,string
4.2.B.1,4.2.B,Grammar & Spelling,string
4.2.B.2,4.2.B,Structure & Flow,string
4.2.B.3,4.2.B,Content Suggestions,string
4.2.B.4,4.2.B,Full Review,string
4.3.A.1,4.3.A,Math,string
4.3.A.2,4.3.A,English,string
4.3.A.3,4.3.A,Science,string
4.3.A.4,4.3.A,Computer Science,string
4.3.A.5,4.3.A,Test Prep,string
4.3.A.6,4.3.A,Other,string
4.3.B.1,4.3.B,Concept explanation,string
4.3.B.2,4.3.B,Problem-solving practice,string
4.3.B.3,4.3.B,Homework guidance,string
4.3.B.4,4.3.B,Exam preparation,string
4.3.B.5,4.3.B,Practice test review,string
4.3.C.1,4.3.C,Primary School,string
4.3.C.2,4.3.C,Middle School,string
4.3.C.3,4.3.C,High School,string
4.3.C.4,4.3.C,College,string
4.3.C.5,4.3.C,University,string
4.3.C.6,4.3.C,PhD,string
4.4.A.1,4.4.A,High School,string
4.4.A.2,4.4.A,Undergraduate,string
4.4.A.3,4.4.A,Graduate,string
4.4.A.4,4.4.A,PhD,string
4.4.B.1,4.4.B,Resume / CV (PDF / DOCX),string
4.4.B.2,4.4.B,Academic Transcripts (PDF / Image),string
4.4.B.3,4.4.B,Certificates (Image / PDF),string
4.4.B.4,4.4.B,Other,string
4.5.A.1,4.5.A,Academic,string
4.5.A.2,4.5.A,Exam Preparation,string
4.5.A.3,4.5.A,Skill Development,string
4.5.A.4,4.5.A,Career Development,string
4.5.B.1,4.5.B,Subject / Topic,string
4.5.B.2,4.5.B,Group Size,string
