field_id,field_name_key,field_type,status,cat_id
1.1.A,PREFERRED_MEAL_TYPE,string,active,1.1
1.1.B,DIETARY_RESTRICTIONS,string,active,1.1
1.1.C,HOUSEHOLD_SIZE,int,active,1.1
1.2.A,GROCERY_LIST,string,active,1.2
1.2.B,DELIVERY_ADDRESS,string,active,1.2
1.2.C,PREFERRED_TIME,string,active,1.2
1.2.D,PAYMENT_METHOD,string,active,1.2
1.3.A,COOKING_TASK,string,active,1.3
1.3.B,RECIPE_PREFERENCE,string,active,1.3
1.3.C,KITCHEN_EQUIPMENT,string,active,1.3
2.1.A,CATEGORY,string,active,2.1
2.1.B,SIZE,string,active,2.1
2.1.C,CONDITION,string,active,2.1
2.1.D,IMAGE,string,active,2.1
2.1.E,LOCATION,string,active,2.1
2.1.F,DROP_OR_PICKUP,string,active,2.1
2.2.A,ITEM_NAME,string,active,2.2
2.2.B,CATEGORY,string,active,2.2
2.2.C,SIZE,string,active,2.2
2.2.D,CONDITION,string,active,2.2
2.2.E,QUANTITY,int,active,2.2
2.2.F,IMAGE,string,active,2.2
2.2.G,REQUEST_TYPE,string,active,2.2
2.2.H,PICKUP_DATETIME,string,active,2.2
2.3.1.A,NUM_ADULTS,int,active,2.3.1
2.3.1.B,NUM_CHILDREN,int,active,2.3.1
2.4.A,ALERT_TYPE,string,active,2.4
2.4.B,SIZE,string,active,2.4
2.4.C,DATE_RANGE,string,active,2.4
2.5.A,GARMENT_DETAILS,string,active,2.5
2.5.B,IMAGES,string,active,2.5
2.5.C,DELIVERY_METHOD,string,active,2.5
3.1.A,CITY_ZIP_CODE,string,active,3.1
3.1.B,RENT_RANGE,string,active,3.1
3.1.C,PROPERTY_TYPE,string,active,3.1
3.1.D,HOUSE_TYPE,string,active,3.1
3.1.E,AGREEMENT_TYPE,string,active,3.1
3.1.F,ROOMMATE_PREFERENCES,string,active,3.1
3.1.G,ADDITIONAL_ROOM_CRITERIA,string,active,3.1
3.1.H,AVAILABILITY_TIMELINE,string,active,3.1
3.2.A,DOCUMENT_UPLOADED,string,active,3.2
3.2.B,HELP_TYPE,string,active,3.2
3.2.C,CONCERNS,string,active,3.2
3.2.D,URGENCY,string,active,3.2
3.3.A,ITEM_TYPE,string,active,3.3
3.3.B,LISTING_LINK,string,active,3.3
3.4.A,MOVE_IN_ADDRESS,string,active,3.4
3.4.B,SUPPORT_TYPE,string,active,3.4
3.4.C,SPECIAL_NEEDS,string,active,3.4
3.4.D,NUM_HELPERS,int,active,3.4
3.4.E,TIME_SLOT,string,active,3.4
3.5.A,CLEANING_AREA,string,active,3.5
3.5.B,CLEANING_TYPE,string,active,3.5
3.6.A,REPAIR_TYPE,string,active,3.6
3.6.B,ISSUE_DESCRIPTION,string,active,3.6
3.7.A,UTILITY_TYPE,string,active,3.7
3.7.B,MOVE_IN_DATE,string,active,3.7
3.7.C,LOCATION,string,active,3.7
4.1.A,APPLICATION_AREA,string,active,4.1
4.1.B,UPLOADED_DOCUMENTS,string,active,4.1
4.1.C,PREFERRED_TIMELINE,string,active,4.1
4.2.A,DOCUMENT_TYPE,string,active,4.2
4.2.B,FEEDBACK_TYPE,string,active,4.2
4.2.C,DEADLINE,string,active,4.2
4.3.A,SUBJECT,string,active,4.3
4.3.B,GRADE_LEVEL,string,active,4.3
4.3.C,TUTORING_MODE,string,active,4.3
4.3.D,AVAILABILITY,string,active,4.3
5.1.A,LOCATION,string,active,5.1
5.1.B,URGENCY_LEVEL,string,active,5.1
5.1.C,ACCESSIBILITY_NEEDS,string,active,5.1
5.1.D,CONSULTATION_METHOD,string,active,5.1
5.2.A,DELIVERY_TYPE,string,active,5.2
5.2.B,ITEM_LIST,string,active,5.2
5.2.C,ADDRESS,string,active,5.2
5.2.D,DELIVERY_TIME,string,active,5.2
5.3.A,HELP_TYPE,string,active,5.3
5.3.B,APPOINTMENT_METHOD,string,active,5.3
5.3.C,ZIP_CODE,string,active,5.3
5.3.D,PROVIDER_TYPE,string,active,5.3
5.4.A,REMINDER_METHOD,string,active,5.4
5.4.B,REMINDER_TIME,string,active,5.4
5.4.C,REPETITION_SCHEDULE,string,active,5.4
5.4.D,DURATION,string,active,5.4
5.5.A,EDUCATION_TOPIC,string,active,5.5
5.5.B,PREFERRED_FORMAT,string,active,5.5
6.1.A,PREFERRED_LOCATION,string,active,6.1
6.1.B,BUDGET_RANGE,string,active,6.1
6.1.C,FACILITY_TYPE,string,active,6.1
6.1.D,MOVE_TIMELINE,string,active,6.1
6.1.E,AMENITIES,string,active,6.1
6.1.F,MOVE_DATE,string,active,6.1
6.1.G,MOVE_ADDRESS,string,active,6.1
6.1.H,DESTINATION_ADDRESS,string,active,6.1
6.1.I,ITEMS_TO_MOVE,string,active,6.1
6.1.J,ASSISTANCE_TYPE,string,active,6.1
6.2.A,DEVICE_TYPE,string,active,6.2
6.2.B,DEVICE_BRAND,string,active,6.2
6.2.C,TECH_HELP_TYPE,string,active,6.2
6.3.A,MEDICATION_COUNT,int,active,6.3
6.3.B,REMINDER_TYPE,string,active,6.3
6.3.C,SETUP_MODE,string,active,6.3
6.3.D,HEALTH_DEVICE_TYPE,string,active,6.3
6.4.A,ERRAND_TYPE,string,active,6.4
6.4.B,PICKUP_LOCATION,string,active,6.4
6.4.C,DELIVERY_LOCATION,string,active,6.4
6.4.D,TRIP_TYPE,string,active,6.4
6.4.E,TRANSPORT_MODE,string,active,6.4
6.4.F,ACCESSIBILITY_NEEDS,string,active,6.4
6.4.G,APPOINTMENT_TYPE,string,active,6.4
6.4.H,SCHEDULING_MODE,string,active,6.4
6.5.A,SOCIAL_ACTIVITY,string,active,6.5
6.5.B,SOCIAL_FREQUENCY,string,active,6.5
6.6.A,MEAL_HELP_TYPE,string,active,6.6
6.6.B,MEAL_LOCATION,string,active,6.6
6.6.C,DIETARY_PREFERENCES,string,active,6.6
6.6.D,MEAL_SCHEDULE,string,active,6.6
