city_id,state_id,city_name,city_point,last_update_time
235.1.1,235.1,Abanda,SRID=4326;POINT(-85.5253 33.0926),
235.1.2,235.1,Abbeville,SRID=4326;POINT(-85.2528 31.5664),
235.1.3,235.1,Adamsville,SRID=4326;POINT(-86.974 33.6073),
235.1.4,235.1,Addison,SRID=4326;POINT(-87.1765 34.2017),
235.1.5,235.1,Akron,SRID=4326;POINT(-87.7429 32.8785),
235.1.6,235.1,Alabaster,SRID=4326;POINT(-86.8225 33.2198),
235.1.7,235.1,Albertville,SRID=4326;POINT(-86.2108 34.2633),
235.1.8,235.1,Alexander City,SRID=4326;POINT(-85.9358 32.9229),
235.1.9,235.1,Alexandria,SRID=4326;POINT(-85.8792 33.7675),
235.1.10,235.1,Aliceville,SRID=4326;POINT(-88.1593 33.1237),
235.1.11,235.1,Allgood,SRID=4326;POINT(-86.5178 33.9064),
235.1.12,235.1,Altoona,SRID=4326;POINT(-86.3179 34.0308),
235.1.13,235.1,Andalusia,SRID=4326;POINT(-86.4781 31.3102),
235.1.14,235.1,Anderson,SRID=4326;POINT(-87.2716 34.9147),
235.1.15,235.1,Anniston,SRID=4326;POINT(-85.8135 33.6712),
235.1.16,235.1,Arab,SRID=4326;POINT(-86.4991 34.3309),
235.1.17,235.1,Ardmore,SRID=4326;POINT(-86.8373 34.9847),
235.1.18,235.1,Argo,SRID=4326;POINT(-86.5063 33.6963),
235.1.19,235.1,Ariton,SRID=4326;POINT(-85.7131 31.5978),
235.1.20,235.1,Arley,SRID=4326;POINT(-87.2075 34.0885),
235.1.21,235.1,Ashford,SRID=4326;POINT(-85.2359 31.1858),
235.1.22,235.1,Ashland,SRID=4326;POINT(-85.8337 33.2703),
235.1.23,235.1,Ashville,SRID=4326;POINT(-86.2698 33.8331),
235.1.24,235.1,Athens,SRID=4326;POINT(-86.9503 34.7843),
235.1.25,235.1,Atmore,SRID=4326;POINT(-87.4762 31.0927),
235.1.26,235.1,Attalla,SRID=4326;POINT(-86.1039 34.005),
235.1.27,235.1,Auburn,SRID=4326;POINT(-85.4903 32.6087),
235.1.28,235.1,Autaugaville,SRID=4326;POINT(-86.6578 32.432),
235.1.29,235.1,Avon,SRID=4326;POINT(-85.279 31.1797),
235.1.30,235.1,Axis,SRID=4326;POINT(-88.018 30.9309),
